t,i1,i2,i3,i4,i5
0.5300000000000002,1000,157,129,179,90
0.5400000000000003,1000,162,129,175,91
0.5500000000000003,1000,165,129,174,99
0.5600000000000003,1000,163,128,176,93
0.5700000000000003,1000,166,127,177,93
0.5800000000000003,1000,167,131,174,93
0.5900000000000003,1000,166,133,180,97
0.6000000000000003,1000,167,128,181,95
0.6100000000000003,1000,165,129,181,98
0.6200000000000003,1000,171,137,180,95
0.6300000000000003,1000,171,132,180,93
0.6400000000000003,1000,167,133,185,92
0.6500000000000004,2000,173,132,191,92
0.6600000000000004,2000,200,149,216,115
0.6700000000000004,2000,227,193,241,133
0.6800000000000004,2000,255,217,271,179
0.6900000000000004,2000,273,240,295,205
0.7000000000000004,2000,295,270,320,232
0.7100000000000004,2000,317,287,332,242
0.7200000000000004,2000,341,303,359,267
0.7300000000000004,2000,347,326,377,283
0.7400000000000004,2000,366,343,389,300
0.7500000000000004,2000,380,353,407,311
0.7600000000000005,2000,385,368,430,327
0.7700000000000005,2000,400,389,438,337
0.7800000000000005,2000,409,387,455,347
0.7900000000000005,2000,422,404,459,353
0.8000000000000005,2000,434,411,469,366
0.8100000000000005,2000,441,427,478,375
0.8200000000000005,2000,452,439,491,383
0.8300000000000005,2000,456,439,503,396
0.8400000000000005,2000,467,452,496,392
0.8500000000000005,2000,469,452,510,402
0.8600000000000005,2000,471,470,518,419
0.8700000000000006,2000,0,468,537,417
0.8800000000000006,2000,481,470,530,424
0.8900000000000006,2000,495,484,544,428
0.9000000000000006,2000,502,495,537,436
0.9100000000000006,2000,498,496,549,444
0.9200000000000006,2000,511,495,542,443
0.9300000000000006,2000,508,505,555,449
0.9400000000000006,2000,511,519,550,450
0.9500000000000006,2000,511,516,564,457
0.9600000000000006,2000,516,518,560,461
0.9700000000000006,2000,523,522,571,465
0.9800000000000006,2000,530,520,563,465
0.9900000000000007,2000,531,522,573,476
1.0000000000000007,2000,531,536,566,472
1.0100000000000007,2000,530,524,581,472
1.0200000000000007,2000,526,537,568,473
1.0300000000000007,2000,531,536,581,484
1.0400000000000007,2000,540,539,573,480
1.0500000000000007,2000,539,539,589,484
1.0600000000000007,2000,546,549,581,480
1.0700000000000007,2000,544,547,597,487
1.0800000000000007,2000,554,558,595,488
1.0900000000000007,2000,546,555,593,495
1.1000000000000008,2000,558,568,597,501
1.1100000000000008,2000,547,561,597,492
1.1200000000000008,2000,558,569,602,498
1.1300000000000008,2000,549,568,597,493
1.1400000000000008,2000,560,571,609,491
1.1500000000000008,2000,550,561,597,493
1.1600000000000008,3000,557,573,602,502
1.1700000000000008,3000,576,574,617,523
1.1800000000000008,3000,602,598,651,537
1.1900000000000008,3000,615,621,653,554
1.2000000000000008,3000,630,641,671,566
1.2100000000000009,3000,630,638,694,579
1.2200000000000009,3000,651,651,684,589
1.2300000000000009,3000,657,664,699,598
1.2400000000000009,3000,653,662,716,613
1.2500000000000009,3000,668,684,719,619
1.260000000000001,3000,673,682,743,632
1.270000000000001,3000,689,696,751,636
1.280000000000001,3000,692,701,743,632
1.290000000000001,3000,694,709,772,647
1.300000000000001,3000,692,701,772,660
1.310000000000001,3000,699,716,766,660
1.320000000000001,3000,714,711,775,660
1.330000000000001,3000,711,738,784,675
1.340000000000001,3000,706,732,763,664
1.350000000000001,3000,714,724,781,677
1.360000000000001,3000,719,749,781,684
1.370000000000001,3000,711,738,778,675
1.380000000000001,3000,743,727,781,675
1.390000000000001,3000,729,754,800,684
1.400000000000001,3000,729,743,796,682
1.410000000000001,3000,724,729,781,694
1.420000000000001,3000,724,757,793,689
1.430000000000001,3000,729,746,806,694
1.440000000000001,3000,729,735,803,694
1.450000000000001,3000,729,760,787,694
1.460000000000001,3000,724,749,806,706
1.470000000000001,3000,735,738,803,699
1.480000000000001,3000,738,760,787,696
1.490000000000001,3000,735,751,803,706
1.500000000000001,3000,740,746,806,704
1.5100000000000011,3000,743,746,803,706
1.5200000000000011,3000,738,766,800,704
1.5300000000000011,3000,746,766,813,701
1.5400000000000011,3000,749,760,806,701
1.5500000000000012,3000,751,766,787,706
1.5600000000000012,3000,751,778,800,704
1.5700000000000012,3000,749,760,796,711
1.5800000000000012,3000,749,763,800,701
1.5900000000000012,3000,749,751,796,704
1.6000000000000012,3000,749,760,796,714
1.6100000000000012,3000,749,751,819,709
1.6200000000000012,3000,743,757,793,711
1.6300000000000012,3000,740,754,803,709
1.6400000000000012,3000,749,757,803,706
1.6500000000000012,3000,740,760,806,706
1.6600000000000013,3000,738,760,806,714
1.6700000000000013,4000,740,772,809,709
1.6800000000000013,4000,749,769,826,738
1.6900000000000013,4000,763,772,829,729
1.7000000000000013,4000,772,781,829,738
1.7100000000000013,4000,781,800,836,754
1.7200000000000013,4000,781,809,862,751
1.7300000000000013,4000,784,809,847,754
1.7400000000000013,4000,806,806,858,775
1.7500000000000013,4000,800,819,865,766
1.7600000000000013,4000,800,809,865,769
1.7700000000000014,4000,816,829,873,775
1.7800000000000014,4000,819,823,869,784
1.7900000000000014,4000,816,829,869,784
1.8000000000000014,4000,813,826,873,796
1.8100000000000014,4000,809,833,892,806
1.8200000000000014,4000,833,833,884,796
1.8300000000000014,4000,829,836,865,790
1.8400000000000014,4000,819,833,888,793
1.8500000000000014,4000,833,840,900,800
1.8600000000000014,4000,823,843,896,803
1.8700000000000014,4000,829,840,881,809
1.8800000000000014,4000,826,833,884,813
1.8900000000000015,4000,847,851,888,813
1.9000000000000015,4000,829,840,900,806
1.9100000000000015,4000,833,847,904,809
1.9200000000000015,4000,826,858,896,816
1.9300000000000015,4000,840,854,892,813
1.9400000000000015,4000,840,865,892,809
1.9500000000000015,4000,829,851,904,819
1.9600000000000015,4000,826,865,904,813
1.9700000000000015,4000,840,843,888,813
1.9800000000000015,4000,836,865,892,816
1.9900000000000015,4000,833,854,896,819
2.0000000000000013,4000,836,843,913,819
2.010000000000001,4000,836,847,904,809
2.020000000000001,4000,840,869,892,823
2.0300000000000007,4000,840,854,892,819
2.0400000000000005,4000,843,847,900,813
2.0500000000000003,4000,840,836,913,809
2.06,4000,836,843,904,806
2.07,4000,826,854,884,813
2.0799999999999996,4000,829,851,884,813
2.0899999999999994,4000,840,836,896,806
2.099999999999999,4000,843,847,917,829
2.109999999999999,4000,833,847,913,816
2.1199999999999988,4000,833,854,892,816
2.1299999999999986,4000,840,858,884,823
2.1399999999999983,4000,840,858,892,823
2.149999999999998,4000,840,854,896,826
2.159999999999998,4000,847,854,909,816
2.1699999999999977,4000,843,862,900,813
2.1799999999999975,5000,843,847,888,816
2.1899999999999973,5000,851,877,900,826
2.199999999999997,5000,843,873,909,829
2.209999999999997,5000,865,869,921,829
2.2199999999999966,5000,869,865,934,843
2.2299999999999964,5000,873,877,938,847
2.239999999999996,5000,869,881,938,847
2.249999999999996,5000,869,892,934,847
2.259999999999996,5000,888,900,938,858
2.2699999999999956,5000,884,892,943,862
2.2799999999999954,5000,884,892,961,858
2.289999999999995,5000,877,892,938,869
2.299999999999995,5000,881,896,934,873
2.3099999999999947,5000,888,904,938,869
2.3199999999999945,5000,888,896,943,869
2.3299999999999943,5000,884,884,961,862
2.339999999999994,5000,896,896,952,862
2.349999999999994,5000,896,913,956,877
2.3599999999999937,5000,884,900,947,869
2.3699999999999934,5000,888,900,943,869
2.3799999999999932,5000,888,896,947,873
2.389999999999993,5000,892,900,947,881
2.399999999999993,5000,900,909,947,873
2.4099999999999926,5000,888,904,966,873
2.4199999999999924,5000,896,896,947,869
2.429999999999992,5000,888,913,938,865
2.439999999999992,5000,896,917,947,884
2.4499999999999917,5000,892,913,938,873
2.4599999999999915,5000,896,900,961,869
2.4699999999999913,5000,921,896,956,881
2.479999999999991,5000,892,921,961,884
2.489999999999991,5000,900,925,956,881
2.4999999999999907,5000,896,913,952,877
2.5099999999999905,5000,900,904,947,873
2.5199999999999902,5000,900,913,947,873
2.52999999999999,5000,892,900,970,877
2.53999999999999,5000,900,900,956,881
2.5499999999999896,5000,900,904,947,873
2.5599999999999894,5000,900,909,956,884
2.569999999999989,5000,904,904,947,888
2.579999999999989,5000,896,909,952,877
2.5899999999999888,5000,900,900,952,884
2.5999999999999885,5000,900,904,956,873
2.6099999999999883,5000,904,917,970,877
2.619999999999988,5000,904,904,952,884
2.629999999999988,5000,896,900,934,877
2.6399999999999877,5000,896,909,943,873
2.6499999999999875,5000,904,913,947,865
2.6599999999999873,5000,904,913,966,873
2.669999999999987,5000,909,904,956,884
2.679999999999987,5000,892,917,961,877
2.6899999999999866,6000,900,909,961,0
2.6999999999999864,6000,900,934,943,884
2.709999999999986,6000,904,921,961,900
2.719999999999986,6000,913,930,975,892
2.7299999999999858,6000,913,925,985,900
2.7399999999999856,6000,913,921,975,900
2.7499999999999853,6000,913,938,990,913
2.759999999999985,6000,934,943,975,921
2.769999999999985,6000,925,943,970,904
2.7799999999999847,6000,934,938,970,904
2.7899999999999845,6000,921,930,975,909
2.7999999999999843,6000,930,921,980,904
2.809999999999984,6000,934,947,1005,913
2.819999999999984,6000,921,952,990,925
